          5        1050

                COND. CRYSTAL PARAMETERS

        Rho         A       Z        IS171      IS5000       IK171      IK5000
     9.333E+07      62      28      0.3759      0.9584      2.5187      3.6764
     9.550E+07      62      28      0.3758      0.9573      2.5186      3.6755
     9.772E+07      62      28      0.3756      0.9563      2.5184      3.6746
     1.000E+08      62      28      0.3755      0.9553      2.5183      3.6737
     1.023E+08      62      28      0.3754      0.9542      2.5181      3.6728
     1.047E+08      62      28      0.3752      0.9532      2.5180      3.6719
     1.072E+08      62      28      0.3751      0.9521      2.5178      3.6710
     1.096E+08      62      28      0.3749      0.9511      2.5177      3.6701
     1.122E+08      62      28      0.3748      0.9501      2.5175      3.6691
     1.148E+08      62      28      0.3746      0.9490      2.5174      3.6682
     1.175E+08      62      28      0.3745      0.9480      2.5172      3.6673
     1.202E+08      62      28      0.3744      0.9469      2.5171      3.6664
     1.230E+08      62      28      0.3742      0.9459      2.5169      3.6655
     1.259E+08      62      28      0.3741      0.9449      2.5168      3.6646
     1.288E+08      62      28      0.3739      0.9438      2.5166      3.6637
     1.318E+08      62      28      0.3738      0.9428      2.5165      3.6628
     1.349E+08      62      28      0.3737      0.9421      2.5164      3.6622
     1.380E+08      62      28      0.3736      0.9413      2.5163      3.6615
     1.413E+08      62      28      0.3735      0.9406      2.5162      3.6608
     1.445E+08      62      28      0.3734      0.9398      2.5161      3.6601
     1.479E+08      62      28      0.3733      0.9391      2.5160      3.6594
     1.514E+08      62      28      0.3732      0.9384      2.5159      3.6588
     1.549E+08      62      28      0.3731      0.9376      2.5158      3.6581
     1.585E+08      62      28      0.3730      0.9369      2.5157      3.6574
     1.622E+08      62      28      0.3729      0.9361      2.5156      3.6567
     1.660E+08      62      28      0.3728      0.9354      2.5155      3.6561
     1.698E+08      62      28      0.3727      0.9346      2.5154      3.6554
     1.738E+08      62      28      0.3726      0.9339      2.5152      3.6547
     1.778E+08      62      28      0.3725      0.9332      2.5151      3.6540
     1.820E+08      62      28      0.3724      0.9324      2.5150      3.6534
     1.862E+08      62      28      0.3723      0.9317      2.5149      3.6527
     1.905E+08      62      28      0.3722      0.9309      2.5148      3.6520
