 5 1000

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_03_145_150.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 
  4.732E-01  1.030E+01  1.297E+00  1.517E+00  7.914E-01  1.695E-01
  4.748E-01  1.031E+01  1.303E+00  1.524E+00  7.906E-01  1.701E-01
  4.764E-01  1.032E+01  1.308E+00  1.532E+00  7.898E-01  1.707E-01
  4.781E-01  1.033E+01  1.314E+00  1.539E+00  7.890E-01  1.712E-01
  4.797E-01  1.034E+01  1.319E+00  1.546E+00  7.882E-01  1.718E-01
  4.813E-01  1.035E+01  1.325E+00  1.553E+00  7.874E-01  1.723E-01
  4.830E-01  1.036E+01  1.330E+00  1.560E+00  7.866E-01  1.729E-01
  4.846E-01  1.036E+01  1.335E+00  1.567E+00  7.859E-01  1.734E-01
  4.863E-01  1.037E+01  1.341E+00  1.574E+00  7.851E-01  1.740E-01
  4.879E-01  1.038E+01  1.346E+00  1.581E+00  7.843E-01  1.745E-01
  4.896E-01  1.039E+01  1.351E+00  1.588E+00  7.836E-01  1.750E-01
  4.912E-01  1.040E+01  1.357E+00  1.595E+00  7.828E-01  1.756E-01
  4.929E-01  1.041E+01  1.362E+00  1.602E+00  7.821E-01  1.761E-01
  4.946E-01  1.041E+01  1.367E+00  1.608E+00  7.813E-01  1.766E-01
  4.963E-01  1.042E+01  1.372E+00  1.615E+00  7.806E-01  1.771E-01
  4.980E-01  1.043E+01  1.377E+00  1.622E+00  7.798E-01  1.777E-01
  4.997E-01  1.044E+01  1.382E+00  1.628E+00  7.791E-01  1.782E-01
  5.014E-01  1.044E+01  1.387E+00  1.635E+00  7.784E-01  1.787E-01
  5.031E-01  1.045E+01  1.392E+00  1.641E+00  7.776E-01  1.792E-01
  5.048E-01  1.046E+01  1.397E+00  1.648E+00  7.769E-01  1.797E-01
  5.065E-01  1.047E+01  1.402E+00  1.654E+00  7.762E-01  1.802E-01
  5.082E-01  1.047E+01  1.407E+00  1.661E+00  7.755E-01  1.807E-01
  5.100E-01  1.048E+01  1.411E+00  1.667E+00  7.748E-01  1.812E-01
  5.117E-01  1.049E+01  1.416E+00  1.674E+00  7.741E-01  1.817E-01
  5.134E-01  1.049E+01  1.421E+00  1.680E+00  7.734E-01  1.822E-01
  5.152E-01  1.050E+01  1.426E+00  1.686E+00  7.727E-01  1.827E-01
  5.170E-01  1.051E+01  1.430E+00  1.692E+00  7.720E-01  1.832E-01
  5.187E-01  1.051E+01  1.435E+00  1.698E+00  7.713E-01  1.836E-01
  5.205E-01  1.052E+01  1.439E+00  1.704E+00  7.706E-01  1.841E-01
  5.223E-01  1.052E+01  1.444E+00  1.710E+00  7.699E-01  1.846E-01
  5.240E-01  1.053E+01  1.448E+00  1.717E+00  7.692E-01  1.851E-01
  5.258E-01  1.053E+01  1.453E+00  1.723E+00  7.685E-01  1.856E-01
  5.276E-01  1.054E+01  1.457E+00  1.728E+00  7.679E-01  1.860E-01
  5.294E-01  1.055E+01  1.462E+00  1.734E+00  7.672E-01  1.865E-01
  5.312E-01  1.055E+01  1.466E+00  1.740E+00  7.665E-01  1.869E-01
  5.330E-01  1.056E+01  1.470E+00  1.746E+00  7.659E-01  1.874E-01
  5.348E-01  1.056E+01  1.475E+00  1.752E+00  7.652E-01  1.879E-01
  5.367E-01  1.057E+01  1.479E+00  1.757E+00  7.646E-01  1.883E-01
  5.385E-01  1.057E+01  1.483E+00  1.763E+00  7.639E-01  1.888E-01
  5.403E-01  1.058E+01  1.487E+00  1.769E+00  7.633E-01  1.892E-01
  5.422E-01  1.058E+01  1.492E+00  1.774E+00  7.626E-01  1.896E-01
  5.440E-01  1.058E+01  1.496E+00  1.780E+00  7.620E-01  1.901E-01
  5.459E-01  1.059E+01  1.500E+00  1.785E+00  7.613E-01  1.905E-01
  5.477E-01  1.059E+01  1.504E+00  1.791E+00  7.607E-01  1.910E-01
  5.496E-01  1.060E+01  1.508E+00  1.796E+00  7.601E-01  1.914E-01
  5.515E-01  1.060E+01  1.512E+00  1.802E+00  7.594E-01  1.918E-01
  5.533E-01  1.061E+01  1.516E+00  1.807E+00  7.588E-01  1.922E-01
  5.552E-01  1.061E+01  1.520E+00  1.812E+00  7.582E-01  1.927E-01
  5.571E-01  1.061E+01  1.524E+00  1.818E+00  7.576E-01  1.931E-01
  5.590E-01  1.062E+01  1.527E+00  1.823E+00  7.570E-01  1.935E-01
  5.609E-01  1.062E+01  1.531E+00  1.828E+00  7.564E-01  1.939E-01
  5.628E-01  1.062E+01  1.535E+00  1.833E+00  7.557E-01  1.943E-01
  5.648E-01  1.063E+01  1.539E+00  1.838E+00  7.551E-01  1.947E-01
  5.667E-01  1.063E+01  1.543E+00  1.844E+00  7.545E-01  1.951E-01
  5.686E-01  1.063E+01  1.546E+00  1.849E+00  7.539E-01  1.955E-01
  5.705E-01  1.064E+01  1.550E+00  1.854E+00  7.533E-01  1.959E-01
  5.725E-01  1.064E+01  1.554E+00  1.859E+00  7.528E-01  1.963E-01
  5.744E-01  1.064E+01  1.557E+00  1.863E+00  7.522E-01  1.967E-01
  5.764E-01  1.065E+01  1.561E+00  1.868E+00  7.516E-01  1.971E-01
  5.784E-01  1.065E+01  1.564E+00  1.873E+00  7.510E-01  1.975E-01
  5.803E-01  1.065E+01  1.568E+00  1.878E+00  7.504E-01  1.979E-01
  5.823E-01  1.065E+01  1.571E+00  1.883E+00  7.498E-01  1.983E-01
  5.843E-01  1.066E+01  1.575E+00  1.888E+00  7.493E-01  1.987E-01
  5.863E-01  1.066E+01  1.578E+00  1.892E+00  7.487E-01  1.991E-01
  5.883E-01  1.066E+01  1.582E+00  1.897E+00  7.481E-01  1.994E-01
  5.903E-01  1.066E+01  1.585E+00  1.901E+00  7.476E-01  1.998E-01
  5.923E-01  1.067E+01  1.588E+00  1.906E+00  7.470E-01  2.002E-01
  5.943E-01  1.067E+01  1.591E+00  1.911E+00  7.465E-01  2.005E-01
  5.963E-01  1.067E+01  1.595E+00  1.915E+00  7.459E-01  2.009E-01
  5.984E-01  1.067E+01  1.598E+00  1.920E+00  7.454E-01  2.013E-01
  6.004E-01  1.067E+01  1.601E+00  1.924E+00  7.448E-01  2.016E-01
  6.025E-01  1.068E+01  1.604E+00  1.929E+00  7.443E-01  2.020E-01
  6.045E-01  1.068E+01  1.608E+00  1.933E+00  7.437E-01  2.023E-01
  6.066E-01  1.068E+01  1.611E+00  1.937E+00  7.432E-01  2.027E-01
  6.086E-01  1.068E+01  1.614E+00  1.941E+00  7.426E-01  2.030E-01
  6.107E-01  1.068E+01  1.617E+00  1.946E+00  7.421E-01  2.034E-01
  6.128E-01  1.068E+01  1.620E+00  1.950E+00  7.416E-01  2.037E-01
  6.149E-01  1.068E+01  1.623E+00  1.954E+00  7.411E-01  2.041E-01
  6.170E-01  1.069E+01  1.626E+00  1.958E+00  7.405E-01  2.044E-01
  6.191E-01  1.069E+01  1.629E+00  1.962E+00  7.400E-01  2.048E-01
  6.212E-01  1.069E+01  1.632E+00  1.967E+00  7.395E-01  2.051E-01
  6.233E-01  1.069E+01  1.635E+00  1.971E+00  7.390E-01  2.054E-01
  6.254E-01  1.069E+01  1.638E+00  1.975E+00  7.385E-01  2.057E-01
  6.276E-01  1.069E+01  1.640E+00  1.979E+00  7.380E-01  2.061E-01
  6.297E-01  1.069E+01  1.643E+00  1.982E+00  7.374E-01  2.064E-01
  6.318E-01  1.069E+01  1.646E+00  1.986E+00  7.369E-01  2.067E-01
  6.340E-01  1.069E+01  1.649E+00  1.990E+00  7.364E-01  2.070E-01
  6.361E-01  1.069E+01  1.652E+00  1.994E+00  7.359E-01  2.074E-01
  6.383E-01  1.069E+01  1.654E+00  1.998E+00  7.354E-01  2.077E-01
  6.405E-01  1.069E+01  1.657E+00  2.002E+00  7.349E-01  2.080E-01
  6.427E-01  1.070E+01  1.660E+00  2.005E+00  7.344E-01  2.083E-01
  6.449E-01  1.070E+01  1.662E+00  2.009E+00  7.340E-01  2.086E-01
  6.471E-01  1.070E+01  1.665E+00  2.013E+00  7.335E-01  2.089E-01
  6.493E-01  1.070E+01  1.668E+00  2.016E+00  7.330E-01  2.092E-01
  6.515E-01  1.070E+01  1.670E+00  2.020E+00  7.325E-01  2.095E-01
  6.537E-01  1.070E+01  1.673E+00  2.024E+00  7.320E-01  2.098E-01
  6.559E-01  1.070E+01  1.675E+00  2.027E+00  7.316E-01  2.101E-01
  6.582E-01  1.070E+01  1.678E+00  2.031E+00  7.311E-01  2.104E-01
  6.604E-01  1.070E+01  1.680E+00  2.034E+00  7.306E-01  2.107E-01
  6.626E-01  1.070E+01  1.683E+00  2.038E+00  7.301E-01  2.110E-01
  6.649E-01  1.070E+01  1.685E+00  2.041E+00  7.297E-01  2.112E-01
  6.672E-01  1.070E+01  1.687E+00  2.044E+00  7.292E-01  2.115E-01
  6.694E-01  1.070E+01  1.690E+00  2.048E+00  7.288E-01  2.118E-01
