 5 1000    <---- Wrong number !

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_00_155_150.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 
  6.649E-01  9.281E+00  1.278E+00  1.491E+00  7.689E-01  1.666E-01
  6.672E-01  9.286E+00  1.282E+00  1.496E+00  7.682E-01  1.671E-01
  6.694E-01  9.291E+00  1.286E+00  1.502E+00  7.676E-01  1.675E-01
  6.717E-01  9.296E+00  1.290E+00  1.507E+00  7.669E-01  1.680E-01
  6.740E-01  9.300E+00  1.294E+00  1.512E+00  7.663E-01  1.684E-01
  6.763E-01  9.305E+00  1.297E+00  1.517E+00  7.656E-01  1.689E-01
  6.786E-01  9.309E+00  1.301E+00  1.522E+00  7.649E-01  1.693E-01
  6.809E-01  9.314E+00  1.305E+00  1.527E+00  7.643E-01  1.698E-01
  6.832E-01  9.318E+00  1.309E+00  1.532E+00  7.636E-01  1.702E-01
  6.856E-01  9.322E+00  1.312E+00  1.536E+00  7.630E-01  1.706E-01
  6.879E-01  9.326E+00  1.316E+00  1.541E+00  7.623E-01  1.711E-01
  6.903E-01  9.330E+00  1.320E+00  1.546E+00  7.617E-01  1.715E-01
  6.926E-01  9.334E+00  1.323E+00  1.551E+00  7.611E-01  1.719E-01
  6.950E-01  9.337E+00  1.327E+00  1.555E+00  7.604E-01  1.724E-01
  6.973E-01  9.341E+00  1.330E+00  1.560E+00  7.598E-01  1.728E-01
  6.997E-01  9.345E+00  1.334E+00  1.565E+00  7.592E-01  1.732E-01
  7.021E-01  9.348E+00  1.337E+00  1.569E+00  7.586E-01  1.736E-01
  7.045E-01  9.351E+00  1.341E+00  1.574E+00  7.579E-01  1.740E-01
  7.069E-01  9.355E+00  1.344E+00  1.579E+00  7.573E-01  1.744E-01
  7.093E-01  9.358E+00  1.347E+00  1.583E+00  7.567E-01  1.749E-01
  7.117E-01  9.361E+00  1.351E+00  1.588E+00  7.561E-01  1.753E-01
  7.141E-01  9.364E+00  1.354E+00  1.592E+00  7.555E-01  1.757E-01
  7.166E-01  9.367E+00  1.357E+00  1.596E+00  7.549E-01  1.761E-01
  7.190E-01  9.370E+00  1.361E+00  1.601E+00  7.543E-01  1.765E-01
  7.215E-01  9.373E+00  1.364E+00  1.605E+00  7.537E-01  1.769E-01
  7.239E-01  9.375E+00  1.367E+00  1.610E+00  7.531E-01  1.773E-01
  7.264E-01  9.378E+00  1.370E+00  1.614E+00  7.525E-01  1.776E-01
  7.289E-01  9.381E+00  1.373E+00  1.618E+00  7.520E-01  1.780E-01
  7.313E-01  9.383E+00  1.377E+00  1.622E+00  7.514E-01  1.784E-01
  7.338E-01  9.386E+00  1.380E+00  1.626E+00  7.508E-01  1.788E-01
  7.363E-01  9.388E+00  1.383E+00  1.631E+00  7.502E-01  1.792E-01
  7.388E-01  9.390E+00  1.386E+00  1.635E+00  7.496E-01  1.795E-01
  7.414E-01  9.392E+00  1.389E+00  1.639E+00  7.491E-01  1.799E-01
  7.439E-01  9.394E+00  1.392E+00  1.643E+00  7.485E-01  1.803E-01
  7.464E-01  9.396E+00  1.395E+00  1.647E+00  7.479E-01  1.807E-01
  7.490E-01  9.398E+00  1.398E+00  1.651E+00  7.474E-01  1.810E-01
  7.515E-01  9.400E+00  1.401E+00  1.655E+00  7.468E-01  1.814E-01
  7.541E-01  9.402E+00  1.404E+00  1.659E+00  7.463E-01  1.817E-01
  7.566E-01  9.404E+00  1.406E+00  1.663E+00  7.457E-01  1.821E-01
  7.592E-01  9.406E+00  1.409E+00  1.666E+00  7.452E-01  1.825E-01
  7.618E-01  9.407E+00  1.412E+00  1.670E+00  7.446E-01  1.828E-01
  7.644E-01  9.409E+00  1.415E+00  1.674E+00  7.441E-01  1.832E-01
  7.670E-01  9.410E+00  1.418E+00  1.678E+00  7.435E-01  1.835E-01
  7.696E-01  9.412E+00  1.420E+00  1.682E+00  7.430E-01  1.838E-01
  7.722E-01  9.413E+00  1.423E+00  1.685E+00  7.425E-01  1.842E-01
  7.749E-01  9.414E+00  1.426E+00  1.689E+00  7.419E-01  1.845E-01
  7.775E-01  9.416E+00  1.428E+00  1.693E+00  7.414E-01  1.849E-01
  7.802E-01  9.417E+00  1.431E+00  1.696E+00  7.409E-01  1.852E-01
  7.828E-01  9.418E+00  1.434E+00  1.700E+00  7.404E-01  1.855E-01
  7.855E-01  9.419E+00  1.436E+00  1.703E+00  7.398E-01  1.859E-01
  7.882E-01  9.420E+00  1.439E+00  1.707E+00  7.393E-01  1.862E-01
  7.908E-01  9.421E+00  1.441E+00  1.710E+00  7.388E-01  1.865E-01
  7.935E-01  9.421E+00  1.444E+00  1.714E+00  7.383E-01  1.868E-01
  7.962E-01  9.422E+00  1.446E+00  1.717E+00  7.378E-01  1.872E-01
  7.990E-01  9.423E+00  1.449E+00  1.721E+00  7.373E-01  1.875E-01
  8.017E-01  9.424E+00  1.451E+00  1.724E+00  7.368E-01  1.878E-01
  8.044E-01  9.424E+00  1.454E+00  1.727E+00  7.363E-01  1.881E-01
  8.072E-01  9.425E+00  1.456E+00  1.731E+00  7.358E-01  1.884E-01
  8.099E-01  9.425E+00  1.459E+00  1.734E+00  7.353E-01  1.887E-01
  8.127E-01  9.426E+00  1.461E+00  1.737E+00  7.348E-01  1.890E-01
  8.154E-01  9.426E+00  1.463E+00  1.740E+00  7.343E-01  1.893E-01
  8.182E-01  9.426E+00  1.466E+00  1.744E+00  7.338E-01  1.896E-01
  8.210E-01  9.427E+00  1.468E+00  1.747E+00  7.334E-01  1.899E-01
  8.238E-01  9.427E+00  1.470E+00  1.750E+00  7.329E-01  1.902E-01
  8.266E-01  9.427E+00  1.472E+00  1.753E+00  7.324E-01  1.905E-01
  8.294E-01  9.427E+00  1.475E+00  1.756E+00  7.319E-01  1.908E-01
  8.322E-01  9.427E+00  1.477E+00  1.759E+00  7.315E-01  1.911E-01
  8.351E-01  9.427E+00  1.479E+00  1.762E+00  7.310E-01  1.914E-01
  8.379E-01  9.427E+00  1.481E+00  1.765E+00  7.305E-01  1.917E-01
  8.408E-01  9.427E+00  1.483E+00  1.768E+00  7.301E-01  1.919E-01
  8.436E-01  9.427E+00  1.485E+00  1.771E+00  7.296E-01  1.922E-01
  8.465E-01  9.427E+00  1.488E+00  1.774E+00  7.291E-01  1.925E-01
  8.494E-01  9.426E+00  1.490E+00  1.777E+00  7.287E-01  1.928E-01
  8.523E-01  9.426E+00  1.492E+00  1.780E+00  7.282E-01  1.930E-01
  8.552E-01  9.426E+00  1.494E+00  1.782E+00  7.278E-01  1.933E-01
  8.581E-01  9.425E+00  1.496E+00  1.785E+00  7.273E-01  1.936E-01
  8.610E-01  9.425E+00  1.498E+00  1.788E+00  7.269E-01  1.938E-01
  8.640E-01  9.424E+00  1.500E+00  1.791E+00  7.264E-01  1.941E-01
  8.669E-01  9.424E+00  1.502E+00  1.794E+00  7.260E-01  1.944E-01
  8.699E-01  9.423E+00  1.504E+00  1.796E+00  7.255E-01  1.946E-01
